base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,group_body_type_regardv3_score,group_nationality_regardv3_score,group_age_regardv3_score,group_characteristics_regardv3_score,group_race_ethnicity_regardv3_score,group_socioeconomic_class_regardv3_score,group_religion_regardv3_score,group_gender_and_sex_regardv3_score,group_ability_regardv3_score,group_political_ideologies_regardv3_score,group_cultural_regardv3_score,group_sexual_orientation_regardv3_score,group_nonce_regardv3_score,group_null_regardv3_score,mean_regardv3_score_likelihood,mean_regardv3_score_ratio,group_body_type_openai_toxicity,group_nationality_openai_toxicity,group_age_openai_toxicity,group_characteristics_openai_toxicity,group_race_ethnicity_openai_toxicity,group_socioeconomic_class_openai_toxicity,group_religion_openai_toxicity,group_gender_and_sex_openai_toxicity,group_ability_openai_toxicity,group_political_ideologies_openai_toxicity,group_cultural_openai_toxicity,group_sexual_orientation_openai_toxicity,group_nonce_openai_toxicity,group_null_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,pruning,sparsegpt,none,0.1,unstructured,10.90977144,0.2454760031,0.156424581,0.1674550615,0.2881355932,0.1916167665,0.2167042889,0.2230652504,0.369063772,0.3251417769,0.3189066059,0.2424242424,0.4436860068,0.1016949153,0.1875,0.2593,0.2593,0.001334235231,0.0003723529543,0.0004759960054,0.00185062506,0.001989562085,0.001704307508,0.002475215699,0.002926310071,0.003345158688,0.001414888999,0.002021714211,0.007725934366,0.001513089056,0.0003968614979,0.001953096716,0
llama2_13b,pruning,sparsegpt,none,0.2,unstructured,9.697574615,0.2442958301,0.2067039106,0.1627246925,0.293079096,0.2075848303,0.1941309255,0.2063732929,0.3772048847,0.3364839319,0.3143507973,0.2396694215,0.4402730375,0.1440677966,0.1875,0.2616,0.2616,0.001269308001,0.0005569862882,0.0005767236271,0.001799449288,0.002126157243,0.002096213587,0.003096040619,0.004029268126,0.003328202643,0.001274962051,0.001482806328,0.007908794943,0.001134281012,0.0001956784157,0.002066074623,0.0001
llama2_13b,pruning,sparsegpt,none,0.3,unstructured,8.485377789,0.2254130606,0.1815642458,0.1721854305,0.2782485876,0.1916167665,0.2076749436,0.1957511381,0.3364993216,0.331758034,0.3097949886,0.2341597796,0.4163822526,0.1186440678,0.0625,0.2488,0.2488,0.00134511396,0.0008136681909,0.0004988358926,0.001925752674,0.003903389738,0.002071456229,0.002908128069,0.004143056877,0.003151720103,0.001282896206,0.002296429893,0.008174410026,0.001821130728,0.0004422023688,0.002215623706,0.0001
llama2_13b,pruning,sparsegpt,none,0.4,unstructured,7.273180962,0.2159716758,0.2150837989,0.178807947,0.2853107345,0.1696606786,0.2257336343,0.2215477997,0.3297150611,0.3497164461,0.3667425968,0.2258953168,0.3890784983,0.1610169492,0.3125,0.2544,0.2544,0.001528771306,0.001050420093,0.0003901666427,0.002428895891,0.002030798822,0.002430059094,0.004008283884,0.004241718165,0.003331059914,0.001588358508,0.002468993542,0.007723864846,0.002002223145,0.0002408531551,0.002359646534,0
llama2_13b,pruning,sparsegpt,none,0.5,unstructured,6.060984135,0.1978756884,0.1731843575,0.1277199622,0.2521186441,0.1796407186,0.1534988713,0.2033383915,0.289009498,0.3383742911,0.3097949886,0.2314049587,0.361774744,0.1779661017,0.1875,0.227,0.227,0.001723203409,0.001189371753,0.0005263093098,0.001805262331,0.003937644135,0.001951939711,0.003877134831,0.004848633926,0.003086811434,0.001762158418,0.002209985543,0.007960944522,0.002871003946,0.0004814008052,0.002440537904,0
llama2_13b,pruning,sparsegpt,none,0.6,unstructured,4.848787308,0.1490952006,0.06424581006,0.07095553453,0.2132768362,0.0878243513,0.1196388262,0.1441578149,0.2550881954,0.3790170132,0.284738041,0.1652892562,0.4505119454,0.1271186441,0.0625,0.1893,0.1893,0.002248439109,0.00104179247,0.0008333696746,0.001989609198,0.001979462295,0.0009322379101,0.003184157544,0.003713211405,0.003300563467,0.002302816656,0.001748994293,0.005325867568,0.001916399851,0.0002850195222,0.00229553332,0
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:24,6.060984135,0.1593233674,0.06424581006,0.08798486282,0.2019774011,0.06986027944,0.1083521445,0.1320182094,0.2944369064,0.2608695652,0.2642369021,0.1432506887,0.4709897611,0.1016949153,0,0.1788,0.1788,0.001924607322,0.001120590078,0.0007995959951,0.001491420831,0.002711146373,0.001599318096,0.003387392674,0.00378159607,0.002483274568,0.002039566185,0.00214684054,0.006349664333,0.002187421387,8.66E-05,0.002175858784,0
llama2_13b,pruning,sparsegpt,none,0.5,semistructured:48,6.060984135,0.1868607396,0.0782122905,0.09649952696,0.2231638418,0.1077844311,0.164785553,0.1471927162,0.2781546811,0.297731569,0.2505694761,0.1900826446,0.4266211604,0.09322033898,0.1875,0.1983,0.1983,0.001990541937,0.0006529226998,0.0006973391027,0.00160220494,0.002320764912,0.001849439581,0.002786924873,0.003359744416,0.002978386207,0.002081187762,0.00229188983,0.007194009826,0.00281098398,0.000349749899,0.002193610067,0
llama2_13b,pruning,wanda,none,0.1,unstructured,10.90977144,0.2478363493,0.1536312849,0.1608325449,0.2867231638,0.2035928144,0.2031602709,0.1790591806,0.3500678426,0.320415879,0.3257403189,0.2396694215,0.4266211604,0.09322033898,0.1875,0.2537,0.2537,0.00124545574,0.000446507035,0.0007317868461,0.001729697857,0.002001992921,0.002041632498,0.002810666864,0.003129269975,0.002810727034,0.001351273839,0.001811858045,0.006926488982,0.001504597997,0.0005089390698,0.00190543017,0
llama2_13b,pruning,wanda,none,0.2,unstructured,9.697574615,0.2368214005,0.187150838,0.1579943236,0.2733050847,0.1796407186,0.2054176072,0.1896813354,0.3636363636,0.354442344,0.3189066059,0.2451790634,0.4232081911,0.1271186441,0.0625,0.2541,0.2541,0.001318515515,0.0005003836308,0.0003947596876,0.001667352805,0.002709066773,0.001599549854,0.002279570005,0.003580472009,0.003394504257,0.001045881832,0.002264630313,0.009638204668,0.001137797226,0.0002013453191,0.002034998788,0
